Date,Open,High,Low,Close*,Adj Close**,Volume
"Dec 13, 2023","20,929.75","20,950.00","20,769.50","20,926.35","20,926.35","260,300"
"Dec 12, 2023","21,018.55","21,037.90","20,867.15","20,906.40","20,906.40","244,900"
"Dec 11, 2023","20,965.30","21,026.10","20,923.70","20,997.10","20,997.10","212,900"
"Dec 08, 2023","20,934.10","21,006.10","20,862.70","20,969.40","20,969.40","292,400"
"Dec 07, 2023","20,932.40","20,941.25","20,850.80","20,901.15","20,901.15","275,000"
"Dec 06, 2023","20,950.75","20,961.95","20,852.15","20,937.70","20,937.70","359,200"
"Dec 05, 2023","20,808.90","20,864.05","20,711.15","20,855.10","20,855.10","421,000"
"Dec 04, 2023","20,601.95","20,702.65","20,507.75","20,686.80","20,686.80","381,100"
"Dec 01, 2023","20,194.10","20,291.55","20,183.70","20,267.90","20,267.90","265,800"
"Nov 30, 2023","20,108.50","20,158.70","20,015.85","20,133.15","20,133.15","486,600"
"Nov 29, 2023","19,976.55","20,104.65","19,956.30","20,096.60","20,096.60","236,200"
"Nov 28, 2023","19,844.65","19,916.85","19,800.00","19,889.70","19,889.70","229,600"
"Nov 24, 2023","19,809.60","19,832.85","19,768.85","19,794.70","19,794.70","145,900"
"Nov 23, 2023","19,828.45","19,875.15","19,786.75","19,802.00","19,802.00","170,000"
"Nov 22, 2023","19,784.00","19,825.55","19,703.85","19,811.85","19,811.85","184,500"
"Nov 21, 2023","19,770.90","19,829.10","19,754.05","19,783.40","19,783.40","195,000"
"Nov 20, 2023","19,731.15","19,756.45","19,670.50","19,694.00","19,694.00","173,800"
"Nov 17, 2023","19,674.75","19,806.00","19,667.45","19,731.80","19,731.80","236,800"
"Nov 16, 2023","19,674.70","19,875.25","19,627.00","19,765.20","19,765.20","282,700"
"Nov 15, 2023","19,651.40","19,693.20","19,579.65","19,675.45","19,675.45","291,500"
"Nov 13, 2023","19,486.75","19,494.40","19,414.75","19,443.55","19,443.55","189,300"
"Nov 10, 2023","19,351.85","19,451.30","19,329.45","19,425.35","19,425.35","152,200"
"Nov 09, 2023","19,457.40","19,463.90","19,378.35","19,395.30","19,395.30","208,400"
"Nov 08, 2023","19,449.60","19,464.40","19,401.50","19,443.50","19,443.50","195,000"
"Nov 07, 2023","19,404.05","19,423.50","19,329.10","19,406.70","19,406.70","198,700"
"Nov 06, 2023","19,345.85","19,423.00","19,309.70","19,411.75","19,411.75","180,700"
"Nov 03, 2023","19,241.00","19,276.25","19,210.90","19,230.60","19,230.60","189,500"
"Nov 02, 2023","19,120.00","19,175.25","19,064.15","19,133.25","19,133.25","245,600"
"Nov 01, 2023","19,064.05","19,096.05","18,973.70","18,989.15","18,989.15","194,100"
"Oct 31, 2023","19,232.95","19,233.70","19,056.45","19,079.60","19,079.60","206,000"
"Oct 30, 2023","19,053.40","19,158.50","18,940.00","19,140.90","19,140.90","180,100"
"Oct 27, 2023","18,928.75","19,076.15","18,926.65","19,047.25","19,047.25","205,200"
"Oct 26, 2023","19,027.25","19,041.70","18,837.85","18,857.25","18,857.25","300,400"
"Oct 25, 2023","19,286.45","19,347.30","19,074.15","19,122.15","19,122.15","225,300"
"Oct 23, 2023","19,521.60","19,556.85","19,257.85","19,281.75","19,281.75","176,000"
"Oct 20, 2023","19,542.15","19,593.80","19,518.70","19,542.65","19,542.65","198,300"
"Oct 19, 2023","19,545.20","19,681.80","19,512.35","19,624.70","19,624.70","230,300"
"Oct 18, 2023","19,820.45","19,840.95","19,659.95","19,671.10","19,671.10","198,900"
"Oct 17, 2023","19,843.20","19,849.75","19,775.65","19,811.50","19,811.50","185,800"
"Oct 16, 2023","19,737.25","19,781.30","19,691.85","19,731.75","19,731.75","181,000"
"Oct 13, 2023","19,654.55","19,805.40","19,635.30","19,751.05","19,751.05","255,000"
"Oct 12, 2023","19,822.70","19,843.30","19,772.65","19,794.00","19,794.00","217,900"
"Oct 11, 2023","19,767.00","19,839.20","19,756.95","19,811.35","19,811.35","213,700"
*Close price adjusted for splits.**Adjusted close price adjusted for splits and dividend and/or capital gain distributions.
